Time,header.seq,header.stamp.secs,header.stamp.nsecs,header.frame_id,magnetic_field.x,magnetic_field.y,magnetic_field.z,magnetic_field_covariance_0,magnetic_field_covariance_1,magnetic_field_covariance_2,magnetic_field_covariance_3,magnetic_field_covariance_4,magnetic_field_covariance_5,magnetic_field_covariance_6,magnetic_field_covariance_7,magnetic_field_covariance_8
1654869580.3827286,37800,1654869580,381113185,imu_link,-6.904079054947942e-05,4.907871698378585e-05,-5.31474215677008e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.393556,37801,1654869580,391115462,imu_link,-6.923272303538397e-05,4.782995893037878e-05,-5.4028929298510775e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.4029603,37802,1654869580,401111628,imu_link,-6.843761366326362e-05,4.9497317377245054e-05,-5.353791857487522e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.4129972,37803,1654869580,411109868,imu_link,-6.684374966425821e-05,4.957634519087151e-05,-5.544456871575676e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.4231842,37804,1654869580,421111756,imu_link,-6.87080537318252e-05,4.786927092936821e-05,-5.4660184105159715e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.4337115,37805,1654869580,431116478,imu_link,-6.87080537318252e-05,4.786927092936821e-05,-5.4660184105159715e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.4429214,37806,1654869580,441111014,imu_link,-6.570701953023672e-05,5.0968999858014286e-05,-5.55405204067938e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.4538429,37807,1654869580,451113273,imu_link,-6.833214865764603e-05,4.921826257486828e-05,-5.3928470151731744e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.462751,37808,1654869580,461114069,imu_link,-6.469905929407105e-05,5.165163747733459e-05,-5.6090451835189015e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.4732597,37809,1654869580,471110105,imu_link,-6.452784145949408e-05,5.301515921019018e-05,-5.5005006288411096e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.4830792,37810,1654869580,481108512,imu_link,-6.452784145949408e-05,5.301515921019018e-05,-5.5005006288411096e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.4937885,37811,1654869580,491106086,imu_link,-6.657771155005321e-05,5.2125644288025796e-05,-5.3388444939628243e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.5027747,37812,1654869580,501118140,imu_link,-6.346058944473043e-05,5.499917097040452e-05,-5.42940542800352e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.514557,37813,1654869580,511277770,imu_link,-6.246594421099871e-05,5.405568299465813e-05,-5.635592242470011e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.5226192,37814,1654869580,521106343,imu_link,-6.468267383752391e-05,5.023002449888736e-05,-5.738550316891633e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.533639,37815,1654869580,531095472,imu_link,-6.486674101324752e-05,5.0372971600154415e-05,-5.7051467592827976e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.542886,37816,1654869580,541306527,imu_link,-6.159501936053857e-05,5.4189371439861134e-05,-5.718011379940435e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.5546432,37817,1654869580,551117415,imu_link,-6.067455979064107e-05,5.364688695408404e-05,-5.865671482752077e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.5631964,37818,1654869580,561112341,imu_link,-6.296437641140074e-05,5.2625870011979714e-05,-5.7148961786879227e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.5733986,37819,1654869580,571106692,imu_link,-5.845437044627033e-05,5.556864562095143e-05,-5.9120309742866084e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.5829618,37820,1654869580,581105117,imu_link,-6.048776049283333e-05,5.567539483308792e-05,-5.693401180906221e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.5951338,37821,1654869580,591123746,imu_link,-6.048776049283333e-05,5.567539483308792e-05,-5.693401180906221e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.6028075,37822,1654869580,601108005,imu_link,-6.0030852182535455e-05,5.4868494771653786e-05,-5.8187149988953024e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.6133118,37823,1654869580,611113190,imu_link,-5.7486282457830384e-05,5.711824996978976e-05,-5.859036900801584e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.6227934,37824,1654869580,621111189,imu_link,-5.347138721845113e-05,5.788989074062556e-05,-6.155949813546613e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.6327527,37825,1654869580,631114892,imu_link,-5.63496578251943e-05,5.733958460041322e-05,-5.9471738495631143e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.6429145,37826,1654869580,641111114,imu_link,-5.63496578251943e-05,5.733958460041322e-05,-5.9471738495631143e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.6536317,37827,1654869580,651106780,imu_link,-5.7079087127931416e-05,5.5108230299083516e-05,-6.0869206208735704e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.6627033,37828,1654869580,661113668,imu_link,-5.573511589318514e-05,5.665131175192073e-05,-6.069783557904884e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.6733053,37829,1654869580,671113593,imu_link,-5.2468330977717414e-05,5.888982559554279e-05,-6.147408566903323e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.6827826,37830,1654869580,681109908,imu_link,-5.241072358330712e-05,6.010186189087108e-05,-6.0339723859215155e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.6930475,37831,1654869580,691109074,imu_link,-5.241072358330712e-05,6.010186189087108e-05,-6.0339723859215155e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.702654,37832,1654869580,701111795,imu_link,-5.4320389608619735e-05,5.8522389736026525e-05,-6.0203186876606196e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.7133884,37833,1654869580,711114147,imu_link,-4.954339601681568e-05,6.24850217718631e-05,-6.034131729393266e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.723884,37834,1654869580,721108220,imu_link,-4.7878773330012336e-05,6.139936158433557e-05,-6.275142368394881e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.732656,37835,1654869580,731110516,imu_link,-4.640150655177422e-05,6.165121158119291e-05,-6.360839324770495e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.7426994,37836,1654869580,741109163,imu_link,-4.9756941734813154e-05,6.251309969229624e-05,-6.013617530697957e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.7532468,37837,1654869580,751109552,imu_link,-4.9756941734813154e-05,6.251309969229624e-05,-6.013617530697957e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.762602,37838,1654869580,761109866,imu_link,-4.2965300963260233e-05,6.397056131390855e-05,-6.373185897246003e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.773344,37839,1654869580,771108050,imu_link,-4.787843499798328e-05,6.192381260916591e-05,-6.223420496098697e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.7828138,37840,1654869580,781106087,imu_link,-4.916052057524212e-05,6.13256634096615e-05,-6.182560173328966e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.7932973,37841,1654869580,791111031,imu_link,-4.202586569590494e-05,6.498673610622063e-05,-6.332891643978655e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.8026683,37842,1654869580,801115067,imu_link,-4.202586569590494e-05,6.498673610622063e-05,-6.332891643978655e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.8135102,37843,1654869580,811113826,imu_link,-4.33757777500432e-05,6.171419227030128e-05,-6.564982322743163e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.8229072,37844,1654869580,821107307,imu_link,-4.5207565563032404e-05,6.092459079809487e-05,-6.514960114145651e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.8342183,37845,1654869580,831083491,imu_link,-4.192487904219888e-05,6.347662565531209e-05,-6.490779196610674e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.8427885,37846,1654869580,841107657,imu_link,-3.904594268533401e-05,6.292597390711308e-05,-6.71992456773296e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.8528914,37847,1654869580,851106935,imu_link,-3.904594268533401e-05,6.292597390711308e-05,-6.71992456773296e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.8636148,37848,1654869580,861128990,imu_link,-4.175791400484741e-05,6.288944132393226e-05,-6.558349559782073e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.8730714,37849,1654869580,871112674,imu_link,-4.079450809513219e-05,6.402357394108549e-05,-6.509063678095117e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.8827422,37850,1654869580,881112285,imu_link,-3.441928492975421e-05,6.491209933301434e-05,-6.783606659155339e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.8928423,37851,1654869580,891134506,imu_link,-3.351844134158455e-05,6.26436885795556e-05,-7.037245813990012e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.9026651,37852,1654869580,901109228,imu_link,-3.6628309317165986e-05,5.8638899645302445e-05,-7.224849832709879e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.913763,37853,1654869580,911120246,imu_link,-3.6628309317165986e-05,5.8638899645302445e-05,-7.224849832709879e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.9228213,37854,1654869580,921111616,imu_link,-2.9553342756116763e-05,6.436061084968969e-05,-7.059965719236061e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.934235,37855,1654869580,931110208,imu_link,-3.0283672458608635e-05,6.483383185695857e-05,-6.985323125263676e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.9438188,37856,1654869580,941110448,imu_link,-3.116094012511894e-05,6.525083881570026e-05,-6.907476927153766e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.9531333,37857,1654869580,951115521,imu_link,-2.6045610866276547e-05,6.807011959608644e-05,-6.846959877293557e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.9626448,37858,1654869580,961112836,imu_link,-2.6045610866276547e-05,6.807011959608644e-05,-6.846959877293557e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.9729517,37859,1654869580,971106483,imu_link,-2.772590596578084e-05,6.980987382121384e-05,-6.601406494155526e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.9830189,37860,1654869580,981106946,imu_link,-2.5773417291929945e-05,6.782908894820139e-05,-6.881093577248976e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869580.9934726,37861,1654869580,991116501,imu_link,-2.3828113626223058e-05,6.846387259429321e-05,-6.888338248245418e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.0028064,37862,1654869581,1106611,imu_link,-2.126579602190759e-05,7.077522604959086e-05,-6.736937939422205e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.013124,37863,1654869581,11105545,imu_link,-2.126579602190759e-05,7.077522604959086e-05,-6.736937939422205e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.022857,37864,1654869581,21108592,imu_link,-2.039733408309985e-05,7.258050754899159e-05,-6.569641118403524e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.0337937,37865,1654869581,31158323,imu_link,-1.8052931409329176e-05,7.47075246181339e-05,-6.397559627657756e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.0433073,37866,1654869581,41107906,imu_link,-1.6534095266251825e-05,7.221887790365145e-05,-6.716440839227289e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.0528936,37867,1654869581,51106027,imu_link,-1.195586082758382e-05,7.577542419312522e-05,-6.414937524823472e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.063048,37868,1654869581,61106536,imu_link,-1.195586082758382e-05,7.577542419312522e-05,-6.414937524823472e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.0734823,37869,1654869581,71121971,imu_link,-1.0521350304770749e-05,7.545780681539327e-05,-6.477206625277176e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.0851562,37870,1654869581,81146184,imu_link,-1.108958440454444e-05,7.590204040752724e-05,-6.415529060177505e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1654869581.0939984,37871,1654869581,91108304,imu_link,-1.330361919826828e-05,7.663863652851433e-05,-6.284531264100224e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
